0.png	\int _ { - \epsilon } ^ \infty d l \: { \rm e } ^ { - l \zeta } \int _ { - \epsilon } ^ \infty d l ' { \rm e } ^ { - l ' \zeta } l l ' { l ' - l \over l + l ' } \{ 3 \, \delta ' ' ( l ) - { 3 \over 4 } t \, \delta ( l ) \} = 0 .
42714.png	S = \frac { 1 } { 2 \pi \alpha ' } \int d \tau \int ^ { 2 \pi \alpha ' p ^ + } _ 0 d \sigma \left [ \frac { 1 } { 2 } ( \partial _ { \tau } \vec { z } ) ^ 2 - \frac { 1 } { 2 } ( \partial _ { \sigma } \vec { z } ) ^ 2 - \frac { 1 } { 2 } \mu ^ 2 \vec { z } ^ { \ 2 } + i \bar S ( \slash \! \! \! \partial + \mu \Gamma ^ { 1 2 3 4 } S ) \right ] ~ ,
42715.png	\Gamma ^ { \mu \nu \sigma } [ D _ \mu , D _ \nu ] \psi _ \sigma - 2 m _ 1 D ^ \mu \psi _ \mu - m _ 2 \Gamma ^ { \mu \nu } D _ { [ \mu } \psi _ { \nu ] } = 0
42726.png	K ^ \chi ( x ' ' , x ; t + t ' ) = \int _ M d x ' \, K ^ \chi ( x ' ' , x ' ; t ' ) K ^ \chi ( x ' , x ; t ) ,
42788.png	( L _ 0 . ( v ^ { ( n ) } ) ^ { \dag } ) . v ^ { ( m ) } = ( v ^ { ( n ) } ) ^ { \dag } . L _ 0 . v ^ { ( m ) } = h \delta _ { n , m } + \delta _ { n , m - 1 } = ( h ( v ^ { ( n ) } ) ^ { \dag } + ( v ^ { ( n + 1 ) } ) ^ { \dag } ) . v ^ { ( m ) } .
42825.png	S [ \Phi ] \equiv \int \! d ^ 4 x d ^ 8 \theta \; \Phi { \bar \Phi } + 2 4 \int \! d ^ 4 x d ^ 4 \theta \; \Phi ( m ^ 2 - \hspace { 0 . 2 e x } \raisebox { . 5 e x } { \fbox { } } \hspace { 0 . 3 e x } ) \Phi + 2 4 \int \! d ^ 4 x d ^ 4 { \bar \theta } \; { \bar \Phi } ( m ^ 2 - \hspace { 0 . 2 e x } \raisebox { . 5 e x } { \fbox { } } \hspace { 0 . 3 e x } ) { \bar \Phi } .
42844.png	\setlength { \unitlength } { 0 . 0 0 7 i n }
42933.png	G ^ \pm ( z ) W _ s ( w ) = { V ^ \pm _ s ( w ) \over ( z - w ) } + r e g u l a r \ t e r m s \ ,
42935.png	S _ { \scriptscriptstyle e f f } = \int d ^ 5 x \delta ( x ^ 5 - \ell ) \cdot \frac { 1 } { 2 } \kappa \left ( - { g ^ 2 \kappa \over 2 \ell } \right ) \ ,
42941.png	( \Delta X ) _ j = ( e ^ { \textstyle \alpha ^ i H _ i ' } X ' ' + e ^ { \textstyle \beta ^ i H _ i ' ' } X ' ) _ j , \rule { 0.3cm } { 0cm } \Delta H _ i = H _ i ' + H _ i ' ' , \rule { 0.3cm } { 0cm } \alpha ^ i \equiv \beta ^ i + \gamma ^ i .
42954.png	\
42955.png	j _ { \mu } ^ a ( x , \tau ) \equiv - q ^ \dag ( x , \tau ) T ^ { a } { \gamma } _ { \mu } P _ L q ( x , \tau )
42975.png	\lefteqn { \varrho _ U ( f ) \, ( u ) \, = \, f \big ( \pi ( u ) \big ) , }
42987.png	[ \, T ^ { N , \eta } _ { \bf m } , T ^ { N , \eta } _ { \bf n } \, ] = - 2 i \sin \left ( \frac { 2 \pi } { N } { \bf m \times n } \right ) T ^ { N , \eta } _ { \bf m + n } \, ,
42999.png	\langle \phi _ { 1 } ( z _ { 1 } , \bar { z } _ { 1 } ) \phi _ { 2 } ( z _ { 2 } , \bar { z } _ { 2 } ) \rangle = \left \{ \begin {array} { l l } \frac { C _ { 1 2 } } { z _ { 1 2 } ^ { 2 h } \bar { z } _ { 1 2 } ^ { 2 \bar { h } } } & \quad \textrm { i f } \; \; h _ { 1 } = h _ { 2 } = h \; \; \textrm { a n d } \; \; \bar { h } _ { 1 } = \bar { h } _ { 2 } = \bar { h } \medskip \\ 0 & \quad \textrm { o t h e r w i s e } \, \, \, \end {array} \right . \, \, ,
43029.png	
43038.png	{ \mathrm { T r } } K ( s ) = \int { \mathrm d } ^ D x \, { \mathrm t r } \, \hat { K } ( s ) ,
43045.png	- \mathrm { t r } \ln \left ( \bar { D } ^ 2 \right ) - \frac { 1 } { 2 } \mathrm { t r } \ln E + \frac { 1 } { 2 } \mathrm { t r } \left ( G _ 0 F \right ) + \frac { 1 } { 4 } \mathrm { t r } \left ( G _ 0 F G _ 0 F \right ) + \frac { 1 } { 6 } \mathrm { t r } \left ( G _ 0 F G _ 0 F G _ 0 F \right ) + \ldots
43053.png	\kappa ^ 2 \sigma _ A = \frac { 6 } { l } \ , \quad \kappa ^ 2 \sigma _ B = - \frac { 6 } { l } \ .
43111.png	\protectE _ { m i n } ^ 2 \sim ( { \frac { C } { N ^ { 1 / D _ H ( N , c ) } } } ) ^ 2 + { \frac { 1 - c } { 1 2 } } ,
43112.png	F ^ { + } _ { \mu \nu } \equiv \frac { 1 } { 2 } ( F _ { \mu \nu } + \frac { 1 } { 2 } \epsilon _ { \mu \nu \alpha \beta } F ^ { \mu \nu } ) = - \frac { i } { 4 } \psi ^ { \dag } [ \gamma _ { \mu } , \gamma _ { \nu } ] \psi ~ ~ ~ .
43140.png	
43144.png	\gamma _ i = \frac { 1 } { 3 } , \qquad i = 1 , 2 .
43174.png	
43187.png	\Phi _ { 7 } \, = \, \left \{ \matrix { \mbox { r o o t s } & \null & \mbox { n u m b e r } \cr \null & \null & \null \cr { \underbrace { \quad \pm \, \epsilon _ k \, \quad \pm \, \epsilon _ \ell \quad } } & \null & 6 0 \cr 1 \, \le \, k \, < \, \ell \, \le 6 & \null & \null \cr \null & \null \cr \pm \, \sqrt { 2 } \epsilon _ 7 & \null & 2 \cr \null & \null & \null \cr { \underbrace { \frac 1 2 \, \left ( \pm \epsilon _ 1 \pm \epsilon _ 2 \pm \dots \epsilon _ 6 \right ) } } & \pm \, \sqrt { 2 - \frac 3 2 } \, \epsilon _ { 7 } & 6 4 \cr \mbox { e v e n n u m b e r o f + s i g n s } & \null & \null \cr \null & \null & \null \cr } \right \}
43203.png	
43243.png	g _ { a b } = \frac { \partial \varphi ^ \mu } { \partial \xi ^ a } \frac { \partial \varphi ^ \mu } { \partial \xi ^ b } \, ,
43246.png	I = \left \{ \begin {array} { l l } 0 \quad , & \sigma ^ 1 _ - < 0 \\ \sum _ { n _ 1 = - \infty } ^ { \infty \prime } { { - 2 i } \over { n _ 1 } } e ^ { - 2 i \pi n _ 1 \sigma / \alpha } + { { 2 \pi } \over { \alpha } } ( \alpha - 2 \sigma ) \quad , & \sigma ^ 1 _ - > 0 \end {array} \right . \quad .
43248.png	G _ n = \left | \begin {array} { l l c l } p _ 1 p _ 1 & p _ 1 p _ 2 & \cdots & p _ 1 p _ n \\ p _ 2 p _ 1 & p _ 2 p _ 2 & \cdots & p _ 2 p _ n \\ \multicolumn { 4 } { c } \dotfill \\ p _ n p _ 1 & p _ n p _ 2 & \cdots & p _ n p _ n \end {array} \right | ,
43309.png	{ \cal Q } \equiv B _ s \bar { \pi } _ { - s } - F _ s \eta _ { - s } + \frac { i } { 2 } C _ { s t } ^ u \eta _ { - s } \eta _ { - t } \pi _ u ,
43355.png	{ \sl U } e _ a ^ { \ i } ( x ) \Pi _ i { \sl U } ^ { \dagger } = \Pi _ a \hspace { 6 c m }
43357.png	C _ i = \sum _ n c _ n ^ i ( x , t _ 1 , t _ 2 , t _ 3 , \dots ) \partial ^ n ,
43385.png	
43400.png	\begin {array} { r c c c l } \Gamma _ { 3 4 5 6 7 } & = & \gamma _ 5 \, \otimes \, U _ 8 \, U _ 4 \, U _ 5 \, U _ 6 \, U _ 7 \otimes \sigma _ 3 & = & { \rm i } \, \gamma _ 5 \, \otimes \, \left ( \begin {array} { c | c | c | c } - { \bf 1 } _ { 2 \times 2 } & 0 & 0 & 0 \\ \hline 0 & { \bf 1 } _ { 2 \times 2 } & 0 & 0 \\ \hline 0 & 0 & { \bf 1 } _ { 2 \times 2 } & 0 \\ \hline 0 & 0 & 0 & - { \bf 1 } _ { 2 \times 2 } \end {array} \right ) \, , \\ \null & \null & \null & \null & \null \\ \Gamma _ { 3 1 2 4 5 } & = & \gamma _ 5 \, \otimes \, { \rm i } U _ 8 \, U _ 4 \, U _ 5 \, \otimes \, { \bf 1 } & = & { \rm i } \, \gamma _ 5 \, \otimes \, \left ( \begin {array} { c | c | c | c } \sigma _ 3 & 0 & 0 & 0 \\ \hline 0 & \sigma _ 3 & 0 & 0 \\ \hline 0 & 0 & \sigma _ 3 & 0 \\ \hline 0 & 0 & 0 & \sigma _ 3 \end {array} \right ) \, . \\ \end {array}
43426.png	H = \int d ^ 3 x \frac { B ^ 2 } { 2 } + \int d ^ 2 x \; \rho ^ { \dag } ( x , y ) H ^ { ( 2 ) } \rho ( x , y )
43436.png	\varphi \, ( \vec { k } , \, t ) = \frac { 1 } { ( 2 \pi L ) ^ { 3 } } \int _ { 0 } ^ { L } \int _ { 0 } ^ { L } \int _ { 0 } ^ { L } \bar { \varphi } \, ( \vec { x } , \, t ) \exp ( - i \vec { k } \cdot \vec { x } ) d \vec { x } \ .
43441.png	T r G = 2 Z \hspace * { 1 c m } T r K = 2 \cos { \theta } \hspace * { 1 c m } T r A = 2 \cosh { t } \hspace * { 1 c m } T r N = 2 .
43455.png	
43514.png	J ^ { ( i ) } = - \left ( \setlength { \unitlength } { 1 m m } \begin {picture} ( 1 2 , 4 ) \thicklines \put ( 6 , 1 ) { \circle { 8 } } \put ( 1 . 7 5 , 1 ) { \circle * { 1 } } \put ( 1 0 . 2 5 , 1 ) { \circle * { 1 } } \put ( 1 2 . 5 , 4 ) { \makebox ( 0 , 0 ) [ l ] { \scriptsize - \! 1 } } \end {picture} \right ) \: \; \; \frac { \delta \Gamma ^ { ( i ) } } { \delta J ^ { ( 0 ) } } .
43524.png	{ \cal P } _ a = p _ a \qquad { \cal J } _ a = \epsilon _ { a b c } x ^ b p ^ c - s \frac { p _ a } { ( - p ^ 2 ) \lefteqn { { } ^ { 1 / 2 } } } \qquad ,
43527.png	\O _ { X \times X } \to \O _ \Delta \to { \cal K } \to \O _ { X \times X } [ 1 ] ,
43532.png	{ } S ^ G [ h _ { i j } , \pi ^ { i j } , N , N ^ i ] = \int _ { \cal M } d t \, d ^ 3 x \left ( { \pi } ^ { i j } { \dot h } _ { i j } - N H ^ G - N ^ i H ^ G _ i \right ) ,
43584.png	T ^ { \mu } _ { \nu } = \left ( \begin {array} { c c c c } - \rho ( t ) & 0 & 0 & 0 \\ 0 & p ( t ) & 0 & 0 \\ 0 & 0 & p ( t ) & 0 \\ 0 & 0 & 0 & p ( t ) \end {array} \right ) .
43650.png	\setlength { \fboxsep } { 7 p t } \framebox { a = P _ I ( [ F ^ a ] , [ H ] ) d ^ n x , } \setlength { \fboxsep } { 3 p t }
43676.png	U ( \tau ) = \sum _ { \ell = 0 } ^ \infty \tilde U ^ { ( \ell ) } ( \tau ) \: \nu ^ \ell = U ^ { ( 0 ) } ( \tau ) \: \left [ { \cal T } e ^ { - \frac { i \nu } { \hbar } \int _ 0 ^ \tau d t \: \tilde H ' ( t ) } \right ] \; .
43689.png	S ^ { \{ l \} } _ w [ A , \psi , \bar \psi , \S _ i ] = S ^ { \{ l \} } [ A , \psi , \bar \psi ] + \sum _ i \S _ i \cdot [ X _ i ] ^ { \{ l \} } \: ,
43706.png	L _ { n _ 1 , a } ( \l ) R _ { n _ 1 , n _ 2 } ( \mu \l ) L _ { a , n _ 2 } ( \mu ) = L _ { a , n _ 2 } ( \mu ) R _ { n _ 1 , n _ 2 } ( \mu \l ) L _ { n _ 1 , a } ( \l ) ,
43709.png	a _ i = \frac { i } { 2 } \Psi ^ \dagger \partial ^ { \hspace { - 2 . 9 m m } \raisebox { 1 . 2 m m } { \leftrightarrow } } _ i \Psi - \Psi ^ \dagger \frac { \sigma ^ 3 } { 2 } \Psi A _ i = \frac { i } { 2 } \Psi ^ \dagger \nabla ^ { \hspace { - 3 . 8 m m } \raisebox { 1 . 2 m m } { \leftrightarrow } } _ i \Psi .
43731.png	\phi ^ \mu ( x ) = \Bigl ( 0 , 0 , 0 , \delta ( x ^ { 0 } ) \delta ( x ^ { 1 } ) \delta ( x ^ { 2 } ) \theta ( x ^ { 3 } ) \Bigr ) \ ,
43756.png	\widetilde { d s } { } _ 6 ^ { 2 } = 2 \Bigl ( d z ^ { 1 } d \bar { z } ^ { 1 } + d z ^ { 2 } d \bar { z } ^ { 2 } + e ^ { - \phi ( z ) } d z \, d \bar { z } \Bigr ) \
43760.png	\psi ( n ) \propto \mid < n + 1 \mid a _ n ^ { \dag } \mid n > \mid ^ 2 \ \ ,
43767.png	S _ 0 = \frac { g r ^ 3 \theta ^ 2 } { 2 } \left \{ \begin {array} { c } \sin 2 ( \phi - \phi _ 0 ) \\ 1 \end {array} \right \} + O ( \theta ^ 3 ) .
43797.png	F _ \pm ( \theta , \phi ) = \left ( \begin {array} { l } f _ { j } \\ f _ { j - 1 } \\ \vdots \\ f _ { - j + 1 } \\ f _ { - j } \end {array} \right ) _ \pm \! \! \! ( \theta , \phi ) = v \left ( \begin {array} { l } D ^ { j } _ { j , j } \\ D ^ { j } _ { j - 1 , j } \\ \vdots \\ D ^ { j } _ { - j + 1 , j } \\ D ^ { j } _ { - j , j } \end {array} \right ) ( \theta , \phi , \mp \phi ) ,
43800.png	\setlength { \unitlength } { 0 . 4 e m } \begin {picture} ( 2 0 , 2 0 ) ( 0 , 1 0 ) \put ( 2 , 1 4 ) { \makebox ( 0 , 0 ) { D } } \put ( 2 , 2 6 ) { \makebox ( 0 , 0 ) { D } } \put ( 1 6 , 2 0 ) { \makebox ( 0 , 0 ) { \Sigma } } \put ( 5 , 2 5 ) { \vector ( 2 , - 1 ) { 8 } } \put ( 5 , 1 5 ) { \vector ( 2 , 1 ) { 8 } } \put ( 2 , 2 3 ) { \vector ( 0 , - 1 ) { 7 } } \put ( - 1 , 1 9 ) { f } \put ( 8 , 2 4 ) { u _ 1 } \put ( 8 , 1 5 ) { u _ 2 } \end {picture}
43811.png	S = f ^ { - 2 } S _ 0 + i k \Gamma + \epsilon S _ { \rm r e g } \; ,
43824.png	
43826.png	P _ i = \int d ^ 2 { \bf x } [ { i \over 2 } ( \phi ^ * D _ i \phi - \phi ( D _ i \phi ) ^ * ) + A _ i G ]
43836.png	t = t ( \tau ) , \hspace * { 1 c m } r = R ( \tau ) , \hspace * { 1 c m } x , y , z = { \rm c o n s t a n t } ,
43840.png	\mathcal { G } _ { \pm , l } ( k ; r , r ' ) = - \frac { \varphi ( k , r _ { < } ) f ^ { ( + ) } ( k , r _ { > } ) } { \mathcal { J } ( k ) } ,
43887.png	
43896.png	L _ B ( 0 ) - \frac { { \overrightarrow { \pi } } ^ 2 ( 0 ) } { 2 } = \sum _ w a _ w { } ^ { \dag } \sum _ { i = 1 } ^ D \sum _ { m > 0 } \pi _ i ( - m ) \pi _ i ( m ) a _ w
43917.png	\phi _ { i j } ( x ^ { - } , 0 ) = \frac { 1 } { \sqrt { 2 \pi } } \int _ { 0 } ^ { \infty } \frac { d k ^ { + } } { \sqrt { 2 k ^ { + } } } \left ( a _ { i j } ( k ^ { + } ) { \rm e } ^ { - i k ^ { + } x ^ { - } } + a _ { j i } ^ { \dag } ( k ^ { + } ) { \rm e } ^ { i k ^ { + } x ^ { - } } \right ) ,
43932.png	D _ { 1 } A _ { 0 1 } = - i ( A _ { 0 1 } ^ { 2 } A ^ { \dag } _ { 0 1 } + A _ { 0 1 } A ^ { \dag } _ { 0 1 } A _ { 0 1 } + A ^ { \dag } _ { 0 1 } A _ { 0 1 } ^ { 2 } )
43935.png	R = - 8 \frac { \mu } { w } \left ( A + \frac { 4 B - 2 A ^ 2 } { w } + O ( 1 / w ^ 2 ) \right ) ,
43993.png	\textup { \boldmath \pi } \mid 0 \rangle = i F \mid 0 \rangle , \; \; \; \; \; \; \langle 0 \mid \textup { \boldmath \pi } = - i \langle 0 \mid F
43998.png	L \frac { \partial } { \partial L } f _ 0 ( W _ { 1 L } , g ^ 2 )
44016.png	\L = \left ( \begin {array} { c c } { \bf 1 } _ { d _ { \cal H } } & 0 \\ 0 & - { \bf 1 } _ { d _ { \cal K } } \end {array} \right ) , \hspace { 1 c m } { \rm s u c h ~ t h a t } \hspace { . 5 c m } f ^ { A B C } = \L ^ { A A ' } \L ^ { B B ' } \L ^ { C C ' } f ^ { A ' B ' C ' } ,
44019.png	\xi \sp { \underline { a } } \cdot { \partial \xi \sp { \underline { a } } \over \partial p \sp { i } } \, = \, { \xi _ i \over 1 + \displaystyle { \lambda \over 2 \pi } ( \xi \sp { \underline { a } } \cdot \partial _ a \Phi ) } ,
44038.png	( \beta _ 1 ^ 2 , \beta _ 2 ^ 2 , \beta _ 3 ^ 2 , \beta _ 4 ^ 2 ) = \left ( \frac { 1 } { 2 } , \frac { 1 } { 2 } , \frac { 1 } { 2 } , \frac { 1 } { 2 } \right ) \ .
44039.png	D _ { j l } ^ { ( N - 1 ) } \equiv \left \{ \mbox { m i n o r o f ( \ref { c - m a t r i x } ) o b t a i n e d b y e l i m i n a t i n g t h e j - t h r o w a n d t h e l - t h c o l u m n } \right \} \; .
44055.png	K ( t ) = \int d ^ { 4 } x \int { d ^ { 4 } k \over ( 2 \pi ) ^ { 4 } } \sum _ { n = 0 } ^ \infty e ^ { - \omega _ { n } ^ { 2 } t - k ^ { 2 } t } \left ( T \, \exp - \int V ( t ' ) d t ' \right ) _ { n n } .
44065.png	\begin {array} { c } T ^ { \mu \nu } = - 2 4 \, [ \frac { 1 } { 2 } \eta ^ { \mu \nu } \{ D ^ { { \mathbf i } { \mathbf j } } , { \bar D } _ { { \mathbf i } { \mathbf j } } \} T - \frac { 3 } { 2 } { \bar \sigma } ^ { \mu \dot \alpha \alpha } { \bar \sigma } ^ { \nu \dot \beta \beta } \{ D _ { \alpha \beta } , { \bar D } _ { \dot \alpha \dot \beta } \} T \\ \\ + 4 8 \eta ^ { \mu \nu } \hspace { 0 . 2 e x } \raisebox { . 5 e x } { \fbox { } } \hspace { 0 . 3 e x } T - b ( \eta ^ { \mu \nu } \hspace { 0 . 2 e x } \raisebox { . 5 e x } { \fbox { } } \hspace { 0 . 3 e x } - \partial ^ \mu \partial ^ \nu ) T \, ] | . \end {array}
44066.png	\put ( 0 , 0 ) { \oval ( 1 0 0 , 4 0 ) [ t ] } \put ( 0 , 0 ) { \oval ( 1 0 0 , 4 0 ) [ b l ] } \put ( 0 , - 2 0 ) { \line ( 1 , 0 ) { 1 0 0 } } \put ( 5 0 , 0 ) { \vector ( 0 , - 1 ) { 2 0 } }
44112.png	S ^ { ~ \bullet } _ 1 = \beta \left . { \partial { \tilde { W } _ 1 ^ { ~ \bullet } ( \beta , \alpha , y , \ldots ) } \over \partial \beta } \right | _ { \alpha , y , \ldots } + \alpha \left . { \partial { \tilde { W } _ 1 ^ { ~ \bullet } ( \beta , \alpha , y , \ldots ) } \over \partial \alpha } \right | _ { \beta , y , \ldots } - W _ 1 ^ { \bullet } ~ ~ ~ .
44115.png	H = \Omega \tilde { H } \Omega ^ { \dag } \ .
44199.png	J ^ { j m } = i \int d \vec { x } \psi ^ { \dag } ( \vec { x } , t ) ( x ^ { j } \partial ^ { m } - x ^ { m } \partial ^ { j } - i { \cal J } ^ { j m } ) \psi ( \vec { x } , t ) ,
44263.png	0 = ( m ^ 2 - A ^ 2 - B ^ 2 - 2 A \cdot B \gamma _ 5 ) \hat { W } + \frac { \kappa ^ 2 } { 1 6 } e ^ \mu _ a e ^ \rho _ d \gamma ^ a R _ { \mu \nu } ^ { b c } R _ { \rho \sigma } ^ { e f } \frac { \partial ^ 2 } { \partial p _ \nu \partial p _ \sigma } \left \{ \sigma _ { b c } , \gamma ^ d \left \{ \sigma _ { e f } , \hat { W } \right \} \right \}
44289.png	\d B _ { \mu \nu } = \eta _ { 1 1 } \theta ^ 1 \partial _ { [ \mu } V _ { \nu ] } + \eta _ { A B } \theta ^ A \partial _ { [ \mu } W _ { \nu ] } ^ B \rightarrow F = \eta _ { 1 1 } \frac { ( X ^ 1 ) ^ 3 } { X ^ 0 } + \eta _ { A B } \frac { X ^ 1 } { X ^ 0 } X ^ A X ^ B
44292.png	d s ^ 2 = d y ^ 2 + \exp [ - 2 { y \over l } ] \eta _ { \mu \nu } d x ^ \mu d x ^ \nu \ ,
44301.png	\mathcal { J } = W ( f ^ { ( + ) } , \varphi ) = - \frac { i \sqrt { 2 } } { \pi } e ^ { i \pi ( | l | - W / 2 ) } ,
44327.png	\left [ d e t \, D _ q \, \right ] ^ { ( - N / 2 ) ^ { s + 1 } } = \exp \left [ i { N \over 4 8 \pi } ( - 1 ) ^ s \left ( 6 q ^ 2 - 6 q + 1 \right ) S [ g ] \right ]
44379.png	\times \bigg ( \left ( t _ A \right ) _ { R _ 1 r _ 1 S _ 1 s _ 1 } \left ( t _ { C _ 1 } \right ) _ { V _ 1 v _ 1 W _ 1 w _ 1 } \left ( \left ( t _ { E _ 1 \alpha _ 1 } \right ) _ { S _ 1 s _ 1 V _ 1 v _ 1 } \delta _ { W _ 1 R _ 1 } \delta _ { w _ 1 r _ 1 } - \delta _ { S _ 1 V _ 1 } \delta _ { s _ 1 v _ 1 } \left ( t _ { E _ 1 \alpha _ 1 } \right ) _ { W _ 1 w _ 1 R _ 1 r _ 1 } \right ) \bigg ) \times
44406.png	{ 2 \alpha \cdot \mu \over { \alpha ^ 2 } } = 0 , \pm 1 , \quad \quad \forall \mu \in \Lambda \quad \ \mbox { a n d } \quad \forall \alpha \in \Delta .
44420.png	\left \{ A , N \right \} _ { { \footnotesize P B } } N _ { 1 2 } \cdots N _ { n - 1 \; n } = \left \{ A N _ { 1 2 } \cdots N _ { n - 1 \; n } , N \right \} _ { { \footnotesize P B } }
44462.png	
44488.png	\begin {tabular} { | l | c | c | c | } \hline \hfill s p i n & \mbox { o d d } & \mbox { e v e n } & \mbox { h a l f - } \\ a l g e b r a \hfill & & & \mbox { - i n t e g e r } \\ \hline h u ( n ; m | 4 ) \phantom { \kern - 1 e m \biggl ( } & n ^ 2 + m ^ 2 & n ^ 2 + m ^ 2 & \bar { n } \otimes m + n \otimes \bar { m } \\ \hline h o ( n ; m | 4 ) \phantom { \kern - 1 e m \biggl ( } & \frac { 1 } { 2 } ( n ( n - 1 ) + m ( m - 1 ) ) & \frac { 1 } { 2 } ( n ( n + 1 ) + m ( m + 1 ) ) & n \otimes m \\ \hline h u s p ( n ; m | 4 ) \phantom { \kern - 1 e m \biggl ( } & \frac { 1 } { 2 } ( n ( n + 1 ) + m ( m + 1 ) ) & \frac { 1 } { 2 } ( n ( n - 1 ) + m ( m - 1 ) ) & n \otimes m \\ \hline \end {tabular}
44497.png	{ \cal H } = \sum _ { \chi \mu } \omega _ { \chi } \left ( a _ { ( \chi \mu ) } ^ { \dag } a _ { ( \chi \mu ) } + \frac { 1 } { 2 } \right ) + \frac { 1 } { 2 } { \cal I } ^ { \alpha \beta } p _ { \alpha } p _ { \beta } + \cdots ,
44531.png	A \sb { \mu } \sp { c o m b } = - \frac { 1 } { 2 } F \sb { \mu \nu } x \sp { \nu } + a \sb { \mu } ( n x ) ,
44543.png	\frac { A _ g ( H ) } { H } \sp H \subset { \rm A u t } ( g )
44545.png	\delta _ { \epsilon ^ { - } } T _ { z z } = - \partial _ { z } ^ { 3 } \epsilon ^ { - } - 2 \partial _ { z } \epsilon ^ { - } T _ { z z } - \epsilon ^ { - } \partial _ { z } T _ { z z }
44565.png	\eta ^ { ( 1 ) } \ = \ p _ k ( \xi )
44597.png	\{ z ^ A , z ^ B \} = \begin {array} { c c c c c c c c c c } & & & \tilde L & & & & \tilde \theta \\ & \vline & & & & | & k _ 1 { \bf 1 } _ 8 & \vdots & 0 & \vline \\ \tilde L & \vline & & 0 & & | & \cdots \cdots & \vdots & \cdots \cdots & \vline \\ & \vline & & & & | & 0 & \vdots & k _ 2 { \bf 1 } _ 8 & \vline \\ & \vline & - - - & - & - - - & | & - - - & - & - - - & \vline \\ & \vline & k _ 1 { \bf 1 } _ 8 & \vdots & 0 & | & & & & \vline \\ \tilde \theta & \vline & \cdots \cdots & \vdots & \cdots \cdots & | & & * & & \vline \\ & \vline & 0 & \vdots & k _ 2 { \bf 1 } _ 8 & | & & & & \vline \end {array} .
44618.png	\begin {array} { r l } m \sp 2 ( \wp ( v ) - \wp ( z ) ) & = \frac { M \sp 2 } { 2 } \sum _ { k = - \infty } \sp { \infty } \left ( \frac { e \sp { - i \pi \tau } } { \cosh ( \phi + i \pi ( 2 k - 1 ) \tau ) - 1 } - \frac { e \sp { - i \pi \tau } } { \cosh ( z + 2 i \pi k \tau ) - 1 } \right ) \\ \\ & { \longrightarrow \atop { I m ( \tau ) \rightarrow \infty } } 2 M \sp 2 \cosh \phi - M \sp 2 \left ( w + \frac { 1 } { w } \right ) . \end {array}
44636.png	S T ( 1 ) ~ = ~ { \o { S U ( 1 , 1 ) } { U ( 1 ) } } \otimes { \o { O ( 2 , 1 ) } { O ( 2 ) } }
44650.png	{ V _ { - J } ^ { ( J ) } } ^ { \dag } = V _ { - J } ^ { ( J ) } \ , \ { V _ J ^ { ( J ) } } ^ { \dag } = V _ J ^ { ( J ) } \ , \ S _ { ( i ) } ^ { \dag } = S _ { ( i ) } \quad ( \varpi = - \varpi ^ \ast )
44701.png	\unitlength = 1 . 0 0 m m \linethickness { 0 . 4 p t } \begin {picture} ( 1 4 1 . 0 0 , 3 . 0 0 ) \put ( 7 2 . 0 0 , - 3 . 0 0 ) { \circle { 1 2 . } } \put ( 6 6 . 0 0 , - 3 . 0 0 ) { \circle { 2 . 0 0 } } \put ( 7 . 0 0 , - 3 . 0 0 ) { \makebox ( 0 , 0 ) [ l c ] { \Delta ( x ) = \Delta _ { 0 } ( x ) = G ( x , x ) = ~ ( x ) } } \end {picture}
44702.png	\eta _ { \mu \nu } \, \frac { \mbox { d } x ^ \mu } { \mbox { d } \tau } \, \frac { \mbox { d } x ^ \nu } { \mbox { d } \tau } = 1 ,
44714.png	x ^ { * } \simeq - { G - 1 \over \ln [ G - 1 ] } .
44734.png	X ^ \mu ( z ) = x ^ \mu - i \alpha _ 0 ^ \mu { \rm l n } ( z ) + i \sum _ { n \neq 0 } { 1 \over n } \alpha ^ \mu _ n z ^ { - n } ,
44747.png	Q _ { e l } + { { 2 \pi n } \o { n + 1 } } ( s + { { j _ { w } } \o n } )
44762.png	< { \pounds } _ H ^ { ( 2 ) } > = \frac { \eta _ { 0 } } { 2 \pi ^ 2 } p _ { 0 } \left ( \left | \psi _ { 0 } \right | ^ { 2 } + \left | \varphi _ { 0 } \right | ^ { 2 } \right ) \int \left [ d ^ { 2 } k \right ] \left ( 3 \left | k \right | ^ { 2 } - 4 p _ { 0 } ^ { 2 } \right ) D _ { P } ^ { - 1 }
44819.png	\l { 4 2 } J ^ - _ i \, = \, 2 \, \partial _ + \rho ^ i \, + \, h _ { + + } \partial _ - \rho ^ i \; \; .
44820.png	\omega ^ i \ = \ \d X ^ M \, \omega _ M ^ i
44851.png	R _ { \mu \nu } + { 2 \over d - 1 } \L G _ { \mu \nu } = 0 .
